code,name,avg_temp_2024,total_rainfall_2024,avg_monthly_rainfall_2024
MYS.1531891,Johor,27.41,2953.93,246.16
MYS.1531892,Kedah,27.49,2925.93,243.83
MYS.1531893,Kelantan,26.15,3038.37,253.2
MYS.1531894,Kuala Lumpur,26.73,3995.03,332.92
MYS.1531895,Melaka,27.85,2691.35,224.28
MYS.1531896,Negeri Sembilan,27.29,2969.39,247.45
MYS.1531897,Pahang,26.9,2831.01,235.92
MYS.1531898,Perak,26.24,3503.81,291.98
MYS.1531899,Perlis,28.12,2492.59,207.72
MYS.1531900,Pulau Pinang,28.4,3230.27,269.19
MYS.1531901,Sabah,26.23,2687.94,224.0
MYS.1531902,Sarawak,26.06,4039.83,336.65
MYS.1531903,Selangor,27.51,3577.67,298.14
MYS.1531904,Terengganu,26.72,3302.13,275.18
MYS.15337336,Labuan,28.11,2358.84,196.57
